goal,success,depth,elapsed_s,model,timeout,use_calls,steps_len
(m244::nat) + (n244::nat) = n244 + m244,True,1,4.4034998416900635,gemini-3-flash-preview,False,2,2
map f331 (xs331 @ ys331) = map f331 xs331 @ map f331 ys331,True,1,6.712441444396973,gemini-3-flash-preview,False,4,2
(m2::nat) ≤ m2 + (n2::nat),True,1,6.646740436553955,gemini-3-flash-preview,False,6,2
rev (xs121 @ ys121) = rev ys121 @ rev xs121,True,1,6.508083343505859,gemini-3-flash-preview,False,8,2
rev (rev xs384) = xs384,True,1,8.523849725723267,gemini-3-flash-preview,False,10,2
rev (rev xs168) = xs168,True,1,6.843954563140869,gemini-3-flash-preview,False,12,2
(A319 ⟶ A319),True,1,4.2041919231414795,gemini-3-flash-preview,False,14,2
A402 ∩ (B402 ∪ C402) = (A402 ∩ B402) ∪ (A402 ∩ C402),True,1,6.651129961013794,gemini-3-flash-preview,False,16,2
inj f130 ⟷ (∀x130 y130. f130 x130 = f130 y130 ⟶ x130 = y130),True,1,10.696455717086792,gemini-3-flash-preview,False,18,2
¬(A175 ∨ B175) ⟷ (¬A175 ∧ ¬B175),True,1,4.203011989593506,gemini-3-flash-preview,False,20,2
(A159 ⟶ A159),True,1,4.20537543296814,gemini-3-flash-preview,False,22,2
converse (converse r102) = r102,True,1,6.494042634963989,gemini-3-flash-preview,False,24,2
A370 - (B370 ∪ C370) = (A370 - B370) ∩ (A370 - C370),True,1,6.70460057258606,gemini-3-flash-preview,False,26,2
r114p ⊆ r114 ⟹ s114p ⊆ s114 ⟹ r114p O s114p ⊆ r114 O s114,True,1,6.928691864013672,gemini-3-flash-preview,False,28,2
(a338::int) - a338 = 0,True,1,8.246576309204102,gemini-3-flash-preview,False,30,2
(m279::nat) ≤ m279,True,1,7.344221353530884,gemini-3-flash-preview,False,32,2
(converse (r388 O s388)) = converse s388 O converse r388,True,1,10.284060001373291,gemini-3-flash-preview,False,34,2
- ((a223::int) + (b223::int)) = (-a223) + (-b223),True,1,6.732829332351685,gemini-3-flash-preview,False,36,2
(m182::nat) ≤ m182 + (n182::nat),True,1,7.883803367614746,gemini-3-flash-preview,False,38,2
(A389 ⟶ A389),True,1,4.203549146652222,gemini-3-flash-preview,False,40,2
inj f82 ⟷ (∀x82 y82. f82 x82 = f82 y82 ⟶ x82 = y82),True,1,8.891328811645508,gemini-3-flash-preview,False,42,2
bij_betw f61 A61 B61 ⟹ f61 ` A61 = B61,True,1,9.312525749206543,gemini-3-flash-preview,False,44,2
r176 O Id = r176,True,1,6.602797269821167,gemini-3-flash-preview,False,46,2
filter P270 (xs270 @ ys270) = filter P270 xs270 @ filter P270 ys270,True,1,10.621649265289307,gemini-3-flash-preview,False,48,2
A340 - (B340 ∪ C340) = (A340 - B340) ∩ (A340 - C340),True,1,6.680058240890503,gemini-3-flash-preview,False,50,2
trans r377 ⟹ r377 O r377 ⊆ r377,True,1,6.749470472335815,gemini-3-flash-preview,False,52,2
A175 - (B175 ∪ C175) = (A175 - B175) ∩ (A175 - C175),True,1,6.984663963317871,gemini-3-flash-preview,False,54,2
(0::int) ≤ abs (a273::int),True,1,9.166326999664307,gemini-3-flash-preview,False,56,2
