goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
x ∈ set xs ⟹ x ∈ set (xs @ ys),True,4.6130,auto,qwen3:8b,49,1,0,False,True
set (xs @ ys) = set xs ∪ set ys,True,2.1012,auto,qwen3:8b,50,1,0,False,True
map id xs = xs,True,2.1015,auto,qwen3:8b,33,1,0,False,True
take (length xs) (xs @ ys) = xs,True,2.1039,auto,qwen3:8b,50,1,0,False,True
map f (xs @ ys) = map f xs @ map f ys,True,2.1100,auto,qwen3:8b,56,1,0,False,True
length (xs @ ys) = length xs + length ys,True,2.1000,auto,qwen3:8b,59,1,0,False,True
filter p (xs @ ys) = filter p xs @ filter p ys,True,2.1019,auto,qwen3:8b,65,1,0,False,True
map f (rev xs) = rev (map f xs),True,18.0837,auto,qwen3:8b,171,1,0,False,True
drop (length xs) (xs @ ys) = ys,True,2.1011,auto,qwen3:8b,50,1,0,False,True
distinct xs ⟹ distinct (rev xs),True,2.1015,auto,qwen3:8b,50,1,0,False,True
xs @ [] = xs,True,2.1023,auto,qwen3:8b,31,1,0,False,True
take n xs @ drop n xs = xs,True,2.1017,auto,qwen3:8b,45,1,0,False,True
[] @ xs = xs,True,3.3716,auto,qwen3:8b,31,1,0,False,True
x ∈ set ys ⟹ x ∈ set (xs @ ys),True,2.1029,auto,qwen3:8b,49,1,0,False,True
map f (filter p xs) = filter (λx. p x) (map f xs),False,164.6903,auto,qwen3:8b,187,0,1,True,True
length (rev xs) = length xs,True,2.2594,auto,qwen3:8b,46,1,0,False,True
rev (rev xs) = xs,True,2.1045,auto,qwen3:8b,36,1,0,False,True
rev (xs @ ys) = rev ys @ rev xs,True,2.1023,auto,qwen3:8b,50,1,0,False,True
